Source,"OENB, 2014, AH_5A","OENB, 2014, AH_5A","OENB, 2014, AH_5A","OENB, 2014, AH_5A","OENB, 2014, AH_5A",Own calculations,,,,,,,,,,,,,,,,,,,,,,,,
Year,CPI,MANUF,GDP,GDPPC,NGDP,GDEFL,,,,,,,,,,,,,,,,,,,,,,,,
1863,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,87,33.3,4348.65,211.5,3530.695,81.19059938,,,,,,,,,,,,,,,,,,,,,,,,
1871,89.7,38.5,4599.8,222.75,3862.438,83.96969433,,,,,,,,,,,,,,,,,,,,,,,,
1872,96.2,38.2,4594.5,221.65,4158.194,90.50373272,,,,,,,,,,,,,,,,,,,,,,,,
1873,98.3,35,4446.25,214.4,4121.227,92.68995221,,,,,,,,,,,,,,,,,,,,,,,,
1874,97.1,35.6,4627.1,221.4,4239.131,91.61528819,,,,,,,,,,,,,,,,,,,,,,,,
1875,94.1,35.4,4610.4,218.4,4092.282,88.76197293,,,,,,,,,,,,,,,,,,,,,,,,
1876,92.7,35.2,4620.25,216.7,4042.242,87.48968129,,,,,,,,,,,,,,,,,,,,,,,,
1877,93,36.5,4774.5,222.4,4196.653,87.89722484,,,,,,,,,,,,,,,,,,,,,,,,
1878,89.4,36.9,4897.15,226.6,4135.694,84.45103785,,,,,,,,,,,,,,,,,,,,,,,,
1879,89.3,37.1,4725.25,216.65,3991.103,84.4633194,,,,,,,,,,,,,,,,,,,,,,,,
1880,89.8,36.9,4795.9,218.2,4079.801,85.06851686,,,,,,,,,,,,,,,,,,,,,,,,
1881,88,40.1,4976.5,225.1,4150.449,83.40096453,,,,,,,,,,,,,,,,,,,,,,,,
1882,87.3,41.6,5016.85,225.15,4154.974,82.82037534,,,,,,,,,,,,,,,,,,,,,,,,
1883,87,43.6,5148.3,229.45,4254.3,82.63504458,,,,,,,,,,,,,,,,,,,,,,,,
1884,86,43.7,5276.35,233.15,4313.839,81.75801454,,,,,,,,,,,,,,,,,,,,,,,,
1885,82.8,41.3,5216.5,229,4105.754,78.70706412,,,,,,,,,,,,,,,,,,,,,,,,
1886,80,41,5256.45,229.05,3997.603,76.05138449,,,,,,,,,,,,,,,,,,,,,,,,
1887,82,44.7,5485.15,236.95,4286.029,78.13877469,,,,,,,,,,,,,,,,,,,,,,,,
1888,80.8,43.8,5481.65,234.95,4224.385,77.06411391,,,,,,,,,,,,,,,,,,,,,,,,
1889,82.1,45.6,5491.65,233.1,4308.738,78.45980716,,,,,,,,,,,,,,,,,,,,,,,,
1890,82.2,48.8,5769.85,243.35,4539.126,78.66974011,,,,,,,,,,,,,,,,,,,,,,,,
1891,82.6,52,5882.15,246.2,4657.257,79.17610058,,,,,,,,,,,,,,,,,,,,,,,,
1892,78.6,52.8,6058.6,251.6,4564.225,75.33464827,,,,,,,,,,,,,,,,,,,,,,,,
1893,79.1,55,6050.15,249.4,4594.474,75.9398362,,,,,,,,,,,,,,,,,,,,,,,,
1894,78.6,57.9,6383.2,261.2,4822.946,75.55686803,,,,,,,,,,,,,,,,,,,,,,,,
1895,80.5,60.3,6481.6,262.95,5026.186,77.54545174,,,,,,,,,,,,,,,,,,,,,,,,
1896,77.2,60,6505.2,261.25,4839.589,74.39569883,,,,,,,,,,,,,,,,,,,,,,,,
1897,77.8,62.4,6622.3,263.3,4973.327,75.09969346,,,,,,,,,,,,,,,,,,,,,,,,
1898,78.4,65.5,6966.15,274.25,5280.599,75.80369358,,,,,,,,,,,,,,,,,,,,,,,,
1899,80,66.7,7129.45,277.85,5525.026,77.49582366,,,,,,,,,,,,,,,,,,,,,,,,
1900,80.4,66.7,14166,546.5,11049.791,78.0021954,,,,,,,,,,,,,,,,,,,,,,,,
1901,78,68.3,14579.1,556.9,11042.468,75.74176732,,,,,,,,,,,,,,,,,,,,,,,,
1902,78.6,71.6,14923.2,564.6,11408.154,76.4457623,,,,,,,,,,,,,,,,,,,,,,,,
1903,79.9,72.4,15010,562.8,11684.003,77.84145903,,,,,,,,,,,,,,,,,,,,,,,,
1904,81.4,74.7,15255.1,566.7,12117.856,79.43478574,,,,,,,,,,,,,,,,,,,,,,,,
1905,85.6,77.8,16146.7,596.3,13514.157,83.6960927,,,,,,,,,,,,,,,,,,,,,,,,
1906,86.8,83,16810.6,614.4,14287.829,84.99297467,,,,,,,,,,,,,,,,,,,,,,,,
1907,90.3,90.9,17568.6,636.5,15559.206,88.56258325,,,,,,,,,,,,,,,,,,,,,,,,
1908,90.8,93.1,17929.4,644,15987.245,89.16776356,,,,,,,,,,,,,,,,,,,,,,,,
1909,91.8,93.8,18120.8,645.6,16357.106,90.26701912,,,,,,,,,,,,,,,,,,,,,,,,
1910,95.4,92.7,18027.4,636.6,16934.118,93.93544271,,,,,,,,,,,,,,,,,,,,,,,,
1911,99.5,98.8,18471.6,647.7,18120.258,98.09793413,,,,,,,,,,,,,,,,,,,,,,,,
1912,100.8,106.2,19493.4,678,19394.692,99.49363374,,,,,,,,,,,,,,,,,,,,,,,,
1913,101.2,100,19140.8,661.2,19140.8,100,,,,,,,,,,,,,,,,,,,,,,,,
