,Economia Chilena 1810-1995 Table 4.1,Economia Chilena 1810-1995 TABLA 1.1,Economia Chilena 1810-1995 TABLA 1.1
Year,CPI,GDP,GDPPC
1810,4.12E-08,103594,139277
1811,0.000000042,104046,137462
1812,4.39E-08,104501,135672
1813,4.67E-08,104957,133907
1814,5.01E-08,105415,132167
1815,5.38E-08,105875,130453
1816,5.76E-08,106338,128765
1817,6.08E-08,106802,127102
1818,6.33E-08,108649,127080
1819,6.45E-08,106340,122248
1820,6.44E-08,108611,122724
1821,6.31E-08,106222,118038
1822,6.08E-08,109252,119397
1823,5.78E-08,111317,119640
1824,5.47E-08,111111,117443
1825,5.18E-08,117030,121653
1826,4.93E-08,120590,123282
1827,4.76E-08,123846,124519
1828,4.66E-08,125682,124281
1829,4.63E-08,129215,125670
1830,4.65E-08,130009,124363
1831,4.64E-08,132636,124793
1832,0.000000044,137232,127001
1833,0.000000043,139572,127056
1834,4.29E-08,145521,130310
1835,4.09E-08,151831,133748
1836,4.61E-08,153744,133235
1837,4.57E-08,160514,136851
1838,4.71E-08,164377,137883
1839,4.96E-08,167858,138536
1840,0.000000049,179912,146104
1841,4.65E-08,183615,146727
1842,4.21E-08,189171,148757
1843,3.79E-08,196396,151987
1844,3.96E-08,200684,152847
1845,4.05E-08,208'191,156065
1846,4.19E-08,216707,159897
1847,4.51E-08,222881,161879
1848,3.76E-08,233632,167043
1849,3.44E-08,251877,177292
1850,3.49E-08,266564,184726
1851,3.43E-08,275731,188202
1852,3.55E-08,285848,192173
1853,4.21E-08,281420,186354
1854,4.45E-08,291402,190070
1855,4.63E-08,306692,197049
1856,4.63E-08,312324,197668
1857,4.81E-08,324559,202349
1858,4.21E-08,340944,209401
1859,4.31E-08,354282,214362
1860,4.74E-08,368530,219681
1861,4.58E-08,370900,217827
1862,4.82E-08,371821,215151
1863,4.92E-08,388298,221384
1864,4.65E-08,411281,231052
1865,4.47E-08,427723,236778
1866,0.000000044,439452,239728
1867,4.46E-08,424609,228268
1868,4.46E-08,448291,237511
1869,4.39E-08,495873,258930
1870,4.36E-08,509179,262058
1871,4.61E-08,510469,258662
1872,4.91E-08,548973,273873
1873,5.13E-08,585615,287633
1874,5.02E-08,561303,271423
1875,5.02E-08,607865,289385
1876,5.14E-08,601489,281913
1877,5.42E-08,582251,268668
1878,5.14E-08,617621,280574
1879,5.47E-08,711524,318227
1880,6.06E-08,799554,352065
1881,6.01E-08,827655,358805
1882,5.37E-08,896645,382711
1883,5.48E-08,902188,379138
1884,5.49E-08,910175,376603
1885,6.34E-08,883030,359754
1886,6.37E-08,920355,369205
1887,6.21E-08,984758,388989
1888,0.000000062,945816,367896
1889,6.08E-08,970315,371669
1890,6.52E-08,1040697,392566
1891,8.51E-08,1125627,419352
1892,0.000000081,1103417,405971
1893,9.88E-08,1157916,421052
1894,0.00000011,1138859,409270
1895,8.25E-08,1218785,432950
1896,7.78E-08,1225655,430467
1897,8.08E-08,1198501,416254
1898,9.06E-08,1343775,461613
1899,9.76E-08,1352168,459512
1900,9.63E-08,1317525,443016
1901,9.69E-08,1350518,448528
1902,1.022E-07,1409507,462437
1903,9.48E-08,1330297,431075
1904,0.000000099,1439241,460705
