Source,OeNB ,OeNB ,OeNB ,OeNB ,OeNB 
Year,GDEFL,GDP,GDPPC,MANUF,NGDP
1863,,,,,
1864,,,,,
1865,,,,,
1866,,,,,
1867,,,,,
1868,,,,,
1869,,,,,
1870,0.811906205,2260.25,145.55,18.7,1835.111
1871,0.839696976,2227.55,143.25,20.3,1870.467
1872,0.905037247,2221.65,142.7,19.1,2010.676
1873,0.92689951,2214.65,142.05,19.2,2052.758
1874,0.916152924,2210.25,141.6,19.7,2024.927
1875,0.887619557,2243.7,143.55,17.9,1991.552
1876,0.874896653,2186.8,139.75,17.2,1913.224
1877,0.878972519,2410.75,153.85,19.1,2118.983
1878,0.844510253,2465.05,157.1,24.2,2081.76
1879,0.844633451,2490.8,158.55,22.4,2103.813
1880,0.850684963,2619.85,166.55,21.9,2228.667
1881,0.834009715,2830.75,178.5,26.4,2360.873
1882,0.828203896,3141.8,196.75,32.4,2602.051
1883,0.826350341,3104.4,192.1,36.6,2565.322
1884,0.817580032,3197.15,195.3,36.6,2613.926
1885,0.787070676,3221.05,194.4,37,2535.194
1886,0.760513746,3159.15,188.25,35.5,2402.577
1887,0.781387869,3295.7,194.55,36.4,2575.22
1888,0.770641332,3407.75,199.05,41,2626.153
1889,0.784598034,3245.3,187.15,38.4,2546.256
1890,0.78669734,3412.25,195.15,40.4,2684.408
1891,0.791760997,3552.25,201.7,46.3,2812.533
1892,0.753346489,3496.65,197.65,46.7,2634.189
1893,0.759398303,3742.75,209.45,55.4,2842.238
1894,0.755568607,3660.7,202.8,55.9,2765.91
1895,0.775454636,4013.1,219.8,58.7,3111.977
1896,0.743956898,3990.5,216.3,59.8,2968.76
1897,0.750996978,3722.75,199.5,56.2,2795.774
1898,0.75803696,3971.9,211,56.5,3010.847
1899,0.774958181,4130.85,217.05,61,3201.236
1900,0.780021928,8391.1,435.9,60.8,6545.242
1901,0.757417693,8152.4,420,55.6,6174.772
1902,0.76445759,8604.2,439.7,59.9,6577.546
1903,0.778414593,8979.4,455.1,63.3,6989.696
1904,0.79434787,7973.1,400.9,61.7,6333.415
1905,0.836960909,8928,445.3,66.3,7472.387
1906,0.849929738,9848.8,487.3,75.9,8370.788
1907,0.885625791,9401.7,461.3,77.9,8326.388
1908,0.891677628,9548.6,464.7,79.1,8514.273
1909,0.902670136,9877.4,476.7,84.1,8916.034
1910,0.939354445,10484,501.9,88.9,9848.192
1911,0.980979385,10375.9,493.4,95.6,10178.544
1912,0.994936331,11049.3,520.2,104.9,10993.35
1913,1,10971.6,512.4,100,10971.6
